,restuarant_id,company,description,address
0,1,McDonald's,Fast food restaurant,"Polígono Can Calderón | Ctra. Comarcal 245 - 08840, Can Calderón, 245, 08840 Viladecans, Barcelona"
1,2,McDonald's,Fast food restaurant,"C, Ronda d'Europa, 64, 08800 Vilanova i la Geltrú, Barcelona"
2,3,McDonald's,Fast food restaurant,"Avinguda de Barcelona, 162, 43881 Cunit, Tarragona"
3,4,McDonald's,Fast food restaurant,"CC Splau, Av. del Baix Llobregat, s/n, Local 1.59-60, 08940 Cornellà de Llobregat, Barcelona"
4,5,McDonald's,Fast food restaurant,"Polígono Industrial Almeda, Ctra. de l'Hospitalet, 10, 08940 Cornellà de Llobregat, Barcelona"
5,6,McDonald's,Fast food restaurant,"Polígon Industrial Mercaderias, 340 S/N, 08720 Vilafranca del Penedès, Barcelona"
6,7,McDonald's,Fast food restaurant,"Av. d Andorra, 33, 08700 Igualada, Barcelona"
7,8,McDonald's,Fast food restaurant,"Centro Comercial Barnasud, Carrer del Progrés, 69, 08850 Gavà, Barcelona"
8,9,Burger King,Fast food restaurant,"Carrer de la Vilanoveta, 4, 08800 Vilanova i la Geltrú, Barcelona"
9,10,Burger King,Fast food restaurant,"Carrer la Bisbal del Penedès, 3, 08720 Vilafranca del Penedès, Barcelona"
10,11,Burger King,Fast food restaurant,"Carrer del Progrés, 69, C.C. Barnasud, 08850 Gavà, Barcelona"
11,12,Burger King,Fast food restaurant,"Ctra. Variant 245, 90, 08840 Viladecans, Barcelona"
12,13,Burger King,Fast food restaurant,"Avinguda del Mestre Montaner, 45, 08700 Igualada, Barcelona"
